iter	Logloss
0	0.6766199493
1	0.6591702271
2	0.6433222961
3	0.6301938629
4	0.6172546387
5	0.6071838379
6	0.5958304214
7	0.5875362396
8	0.5777481079
9	0.5704097748
10	0.5634825516
11	0.5567550659
12	0.5511995697
13	0.5448408508
14	0.539587326
15	0.5359600067
16	0.5309858322
17	0.5286090851
18	0.5237229156
19	0.5195697021
20	0.5162713623
21	0.5133158875
22	0.509930954
23	0.5059503555
24	0.5015250015
25	0.4982723999
26	0.4959380341
27	0.4934615707
28	0.4909036255
29	0.488026886
30	0.4855225754
31	0.4828248596
32	0.480087738
33	0.4782488251
34	0.4758298492
35	0.4733715439
36	0.4715659332
37	0.4698667145
38	0.4672359085
39	0.4649090576
40	0.4628360748
41	0.4613332748
42	0.4599115372
43	0.4572971344
44	0.4555610275
45	0.4533209991
46	0.4520938492
47	0.4505446625
48	0.4490758514
49	0.4478782654
50	0.4465383911
51	0.4449312592
52	0.4439522552
53	0.4414573669
54	0.4394711304
55	0.4381862259
56	0.4360728455
57	0.4346247864
58	0.4324724579
59	0.4314286804
60	0.4302776337
61	0.4284362793
62	0.4261116791
63	0.4254367065
64	0.4242778015
65	0.4232880783
66	0.4217563629
67	0.4206143188
68	0.4191041183
69	0.4182475281
70	0.4177980042
71	0.4157995605
72	0.4141067505
73	0.4128625107
74	0.4115890503
75	0.4100720596
76	0.4085370636
77	0.408092804
78	0.4068573761
79	0.4060054779
80	0.4046985626
81	0.4030815887
82	0.401942215
83	0.4011795425
84	0.4004981232
85	0.3994119263
86	0.398153038
87	0.3973674393
88	0.3955817032
89	0.3946839142
90	0.3936113739
91	0.3922836685
92	0.3905528259
93	0.3898343658
94	0.38939888
95	0.3888290405
96	0.3878871918
97	0.3866088104
98	0.3855776596
99	0.3842217636
100	0.3833237457
101	0.3818268967
102	0.380880661
103	0.3798777008
104	0.3786247635
105	0.3773771286
106	0.3759024811
107	0.3751875687
108	0.3740573883
109	0.3733671188
110	0.3724043274
111	0.3714514923
112	0.3700411987
113	0.3681099701
114	0.3670761871
115	0.3662744904
116	0.3656014252
117	0.3646181107
118	0.3637150574
119	0.3628480911
120	0.3612107849
121	0.3603030014
122	0.3592599487
123	0.3586342239
124	0.3579057693
125	0.35715271
126	0.3559296417
127	0.354661293
128	0.3535980988
129	0.3525138855
130	0.3514477539
131	0.3498965073
132	0.3484846878
133	0.3476759338
134	0.346902771
135	0.3459122467
136	0.3448833847
137	0.3435925293
138	0.3429081726
139	0.3420789337
140	0.3406266403
141	0.3394813538
142	0.3389652634
143	0.3381787872
144	0.3372958374
145	0.3366050339
146	0.3356307983
147	0.3347814941
148	0.3340372086
149	0.3328356171
150	0.3325569153
151	0.3314774323
152	0.3306158447
153	0.3295896912
154	0.328791275
155	0.3283011627
156	0.3272090912
157	0.3265372467
158	0.325303421
159	0.3244155121
160	0.3236571121
161	0.3228368378
162	0.3222756195
163	0.321275177
164	0.3201602936
165	0.3199388123
166	0.3195182228
167	0.3185264778
168	0.3176958084
169	0.3173610687
170	0.3168187332
171	0.3157664871
172	0.315335331
173	0.3150081253
174	0.3137442398
175	0.3122054863
176	0.31097332
177	0.3100915909
178	0.3092266083
179	0.3087508011
180	0.3081998062
181	0.3073963165
182	0.3070156479
183	0.3064782524
184	0.3052097321
185	0.3047114563
186	0.303564415
187	0.3026471519
188	0.3015083122
189	0.3007432175
190	0.3005223083
191	0.3002075577
192	0.2996983528
193	0.2990964508
194	0.2984560966
195	0.2971738243
196	0.2961497879
197	0.2951040459
198	0.2940828323
199	0.2930801773
200	0.2929016495
201	0.2926254845
202	0.2917489243
203	0.2915290642
204	0.291092453
205	0.2903680611
206	0.2897083664
207	0.2888344574
208	0.2880541039
209	0.2874729156
210	0.2863893127
211	0.2855724907
212	0.2852476311
213	0.285148201
214	0.2842456436
215	0.2837475586
216	0.2833041763
217	0.2826197052
218	0.2818366432
219	0.2810344696
220	0.2803178596
221	0.2799713898
222	0.2789411926
223	0.2780390167
224	0.2771477699
225	0.276335907
226	0.2756976128
227	0.2753733444
228	0.2751519012
229	0.2742957306
230	0.2740017319
231	0.273046875
232	0.2720524597
233	0.2714146996
234	0.2703062057
235	0.2697297287
236	0.2693379974
237	0.2686080551
238	0.2680008125
239	0.2671316528
240	0.2664829636
241	0.2655953979
242	0.2647414017
243	0.2638566208
244	0.2631417084
245	0.2623924065
246	0.2612841225
247	0.2606035995
248	0.2600048447
249	0.2589384079
250	0.2583669662
251	0.2576662827
252	0.2569107437
253	0.2554885483
254	0.2545199776
255	0.2541409302
256	0.2531186676
257	0.2526970673
258	0.2516012192
259	0.2508942413
260	0.2505621529
261	0.2501522064
262	0.2495304298
263	0.2488896561
264	0.2482833862
265	0.2476699829
266	0.2466864967
267	0.2459393692
268	0.2453725052
269	0.245036602
270	0.2443655777
271	0.2438951111
272	0.2430668068
273	0.2423480988
274	0.2418276024
275	0.2412155724
276	0.2405950546
277	0.2399389076
278	0.2392263603
279	0.2385788536
280	0.2377929688
281	0.2370122528
282	0.2358770561
284	0.237953186
285	0.2372263145
286	0.2363260269
287	0.2358287811
288	0.2353125
289	0.2351198578
290	0.234433136
291	0.2339170074
292	0.2333355331
293	0.2326715088
294	0.231961174
295	0.2314123344
296	0.2309100151
297	0.2303586578
298	0.2296744919
299	0.2291955185
738
299	0.2265819931

