iter	Passed	Remaining
0	1	226
1	1	188
2	2	178
3	3	172
4	4	166
5	5	165
6	6	175
7	7	179
8	8	179
9	9	175
10	10	171
11	10	170
12	11	167
13	12	165
14	13	163
15	14	162
16	14	160
17	15	158
18	16	155
19	17	154
20	17	153
21	18	151
22	19	149
23	20	148
24	20	146
25	21	144
26	22	147
27	23	147
28	24	147
29	25	146
30	26	145
31	27	145
32	28	144
33	29	142
34	29	140
35	30	139
36	31	138
37	32	136
38	32	136
39	33	135
40	34	134
41	35	133
42	36	132
43	36	130
44	38	131
45	39	130
46	39	129
47	40	128
48	41	128
49	42	126
50	43	126
51	43	125
52	45	124
53	45	124
54	46	123
55	47	121
56	48	120
57	48	119
58	49	119
59	50	118
60	51	117
61	52	116
62	53	115
63	53	114
64	54	113
65	55	113
66	56	111
67	57	110
68	57	110
69	58	109
70	59	108
71	60	107
72	61	106
73	62	106
74	63	105
75	64	104
76	65	104
77	66	104
78	67	103
79	69	103
80	71	104
81	73	105
82	75	105
83	76	105
84	78	106
85	80	106
86	81	105
87	82	105
88	83	104
89	84	103
90	86	103
91	87	102
92	88	101
93	89	101
94	91	101
95	93	101
96	94	100
97	95	99
98	97	99
99	98	98
100	98	96
101	99	95
102	100	94
103	101	93
104	102	92
105	103	91
106	104	90
107	105	89
108	106	88
109	107	87
110	108	86
111	108	85
112	109	84
113	110	83
114	111	82
115	112	81
116	113	80
117	114	79
118	115	78
119	116	77
120	116	76
121	117	75
122	119	74
123	119	73
124	120	72
125	121	71
126	123	70
127	124	69
128	124	68
129	125	67
130	126	66
131	127	65
132	128	64
133	129	63
134	130	62
135	131	61
136	132	60
137	132	59
138	134	58
139	134	57
140	135	56
141	136	55
142	136	54
143	137	53
144	138	52
145	139	51
146	140	50
147	141	49
148	142	48
149	142	47
150	143	46
151	144	45
152	145	44
153	146	43
154	147	42
155	147	41
156	148	40
157	149	39
158	150	38
159	152	38
160	153	37
161	154	36
162	155	35
163	155	34
164	157	33
165	158	32
166	158	31
167	159	30
168	160	29
169	161	28
170	162	27
171	163	26
172	163	25
173	164	24
174	165	23
175	166	22
176	167	21
177	168	20
178	169	19
179	170	18
180	170	17
181	171	16
182	172	16
183	173	15
184	174	14
185	175	13
186	175	12
187	176	11
188	177	10
189	178	9
190	179	8
191	180	7
192	181	6
193	182	5
194	183	4
195	184	3
196	185	2
197	186	1
198	187	0
199	188	0
